Income components,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Geography,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada,Canada
Unit,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars,Thousands of Dollars
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cash receipts, total 2",10209121,10096387,10233978,12065650,14412524,15958977,18534208,18882646,18859508,20481125,19792200,20630879,21345559,22435232,22919269,21997939,21999545,23730202,24188520,25881396,27123321,29075327,29835513,29505263,30256780,32879399,36243327,35970624,34244827,36338224,36918791,37038684,40865566,46059835,44559519,44455276,49889876,54227613,55627787,58285425,60076137,60699813,62433143,62800068,66218775,71763185,83068913,95165226
Operating expenses after rebates,5642032,6221956,6729994,7867043,9530857,11085940,13188388,13801855,13961563,14702175,15115231,15097073,15387188,15942094,16965917,17055916,17433929,18075577,18926327,20321324,21535309,23020983,23511379,23932547,24736871,26465312,28124312,28462655,29242628,29407456,30096130,31171042,33756407,37128162,36078927,35424634,38403018,41682703,43090807,44507181,45985502,46521121,48279624,51100244,54395006,55825197,61119998,73286308
Net cash income 3,4567089,3874431,3503984,4198607,4881667,4873037,5345820,5080791,4897945,5778950,4676969,5533806,5958371,6493138,5953352,4942023,4565616,5654625,5262193,5560072,5588012,6054344,6324134,5572716,5519909,6414087,8119015,7507969,5002199,6930768,6822662,5867641,7109159,8931673,8480592,9030642,11486858,12544910,12536980,13778244,14090636,14178692,14153519,11699824,11823769,15937987,21948914,21878919
Income-in-kind,135637,159030,150850,179361,209536,207243,216786,205757,204573,203628,198694,141710,120058,119540,120389,119175,115248,121573,144022,157623,150822,168101,53834,49352,47401,49411,49564,45295,41017,47493,56776,46941,42826,42854,39929,41445,45439,45382,46482,56314,61336,55690,56217,56183,54923,55104,61633,67305
Depreciation charges,1116451,1346807,1505642,1717280,2011529,2349406,2612683,2789531,2826978,2818633,2744380,2749582,2711654,2770246,2893485,2989153,2994997,2996914,3059750,3238919,3462124,3731165,3945013,4114740,4235107,4322843,4451900,4482720,4596949,4612596,4800568,4867115,5033501,5220724,5497759,5509504,5870596,6080957,6352458,6678413,7134267,7312896,7601930,7845376,8140210,8456630,9226183,10140361
Realized net income 4 5,3586275,2686654,2149192,2660688,3079674,2730874,2949923,2497017,2275540,3163945,2131283,2925934,3366775,3842432,3180256,2072045,1685867,2779284,2346465,2478776,2276710,2491280,2432955,1507328,1332203,2140655,3716679,3070544,446267,2365665,2078869,1047467,2118484,3753804,3022761,3562583,5661700,6509335,6231003,7156145,7017705,6921486,6607806,3910631,3738482,7536461,12784364,11805863
Value of inventory change,247871,266467,223525,221612,-36027,-252291,782649,-25632,-678623,-972852,660759,642036,-288295,-1108328,864681,1333236,295967,-461200,1067201,524889,710042,1327750,-868148,312748,799723,294939,-1042899,-1558902,2328769,1660741,499747,-796075,-988628,3260137,-175920,-1123431,476218,145318,5991414,-2781173,-121895,1198401,1361247,49767,403776,-1482669,-7249297,9542915
"Net income, total 6",3834146,2953121,2372717,2882300,3043647,2478583,3732572,2471385,1596917,2191093,2792042,3567970,3078480,2734104,4044937,3405281,1981834,2318084,3413666,3003665,2986752,3819030,1564807,1820076,2131926,2435594,2673780,1511642,2775036,4026406,2578616,251391,1129856,7013941,2846841,2439153,6137918,6654653,12222417,4374972,6895810,8119888,7969053,3960397,4142259,6053791,5535067,21348778
